Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Chapitre,III,III,III,DEPENSES COURANTES,11 296 263 754,11 824 099 971,12 174 626 808,12 553 289 614,12 963 772 579,13 453 788 766,
Département,00,00,00,Ministère d'Etat,170 640 087,171 955 610,191 483 312,184 310 135,185 487 577,185 450 943,
Section,00.0,000,00.0,Maison du Grand-Duc,9 367 468,9 809 803,10 072 365,10 302 044,10 555 788,10 908 379,
Article,10.000,000 10000,00.0.10.000,Liste civile,1 160 157,1 174 569,1 181 768,1 196 537,1 211 307,1 241 590,Crédit non limitatif
Article,10.001,000 10001,00.0.10.001,Frais du personnel attaché à la fonction de Chef de l'Etat,5 031 584,5 361 756,5 579 886,5 739 176,5 911 744,6 141 061,Crédit non limitatif et sans distinction d'exercice
Article,10.002,000 10002,00.0.10.002,Frais de représentation du Chef de l'Etat,694 980,703 614,707 927,716 774,725 621,743 762,
Article,10.003,000 10003,00.0.10.003,Frais de représentation de Son Altesse Royale le Grand-Duc Héritier,155 339,157 269,158 233,160 211,162 188,166 243,
Article,10.004,000 10004,00.0.10.004,Frais du personnel attaché à la fonction d'ancien Chef de l'Etat,1 353 040,1 377 136,1 406 904,1 438 500,1 477 515,1 529 204,Crédit non limitatif et sans distinction d'exercice
Article,10.005,000 10005,00.0.10.005,Frais de représentation de Son Altesse Royale le Grand-Duc Jean,239 379,241 421,242 441,244 534,246 626,250 917,
Article,10.007,000 10007,00.0.10.007,Frais de fonctionnement et dépenses courantes,605 000,615 280,615 280,622 866,633 243,641 089,
Article,11.000,000 11000,00.0.11.000,Traitements des fonctionnaires,127 989,178 758,179 926,183 446,187 544,194 513,Crédit non limitatif et sans distinction d'exercice
Section,00.1,001,00.1,Chambre des Députés,35 257 921,33 649 709,34 539 903,34 766 364,36 808 840,37 737 899,
Article,10.000,001 10000,00.1.10.000,Chambre des Députés,32 210 471,32 210 471,32 840 316,33 275 758,33 561 155,34 437 076,
Article,10.001,001 10001,00.1.10.001,Médiateur,1 322 450,1 439 238,1 699 587,1 490 606,1 522 685,1 575 823,Crédit non limitatif et sans distinction d'exercice
Article,10.002,001 10002,00.1.10.002,Remboursement partiel des frais des campagnes électorales aux partis politiques,1 725 000,0,0,,1 725 000,1 725 000,Crédit non limitatif et sans distinction d'exercice
Section,00.2,002,00.2,Cour des Comptes,4 183 139,4 482 733,4 530 015,4 613 118,4 705 964,4 861 341,
Article,10.000,002 10000,00.2.10.000,Dotation au profit de la Cour des Comptes,4 183 139,4 482 733,4 530 015,4 613 118,4 705 964,4 861 341,Crédit non limitatif
Section,00.3,003,00.3,Conseil d'Etat,3 444 733,3 601 280,3 646 848,3 714 781,3 768 340,3 876 083,
Article,10.000,003 10000,00.3.10.000,Dotation au profit du Conseil d'Etat,1 980 243,2 003 185,2 090 415,2 039 753,2 055 899,2 100 000,Crédit non limitatif
Article,11.000,003 11000,00.3.11.000,Traitements des fonctionnaires,1 098 733,1 211 166,1 115 412,1 271 500,1 299 901,1 348 203,Crédit non limitatif et sans distinction d'exercice
Article,11.010,003 11010,00.3.11.010,Indemnités des employés occupés à titre permanent,308 683,324 423,379 296,340 576,348 183,361 121,Crédit non limitatif et sans distinction d'exercice
Article,11.020,003 11020,00.3.11.020,Indemnités des employés occupés à titre temporaire,,1 992,2 025,2 092,2 139,2 233,Crédit non limitatif et sans distinction d'exercice
Article,11.030,003 11030,00.3.11.030,Salaires des ouvriers occupés à titre permanent,57 074,60 414,59 600,60 760,62 118,64 426,Crédit non limitatif et sans distinction d'exercice
Article,11.040,003 11040,00.3.11.040,Salaires des ouvriers occupés à titre temporaire,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Section,00.4,004,00.4,Gouvernement,37 635 912,43 964 898,43 275 638,38 440 809,38 505 967,39 100 586,
Article,11.000,004 11000,00.4.11.000,Traitements des fonctionnaires,11 937 735,14 363 017,14 704 210,14 992 022,15 326 903,15 896 412,Crédit non limitatif et sans distinction d'exercice
Article,11.130,004 11130,00.4.11.130,Indemnités pour services extraordinaires,208 141,200 000,200 000,206 146,209 239,212 797,Crédit non limitatif et sans distinction d'exercice
Article,12.000,004 12000,00.4.12.000,Indemnités pour services de tiers,2 166,2 700,2 700,2 736,2 777,2 825,Crédit non limitatif et sans distinction d'exercice
Article,12.010,004 12010,00.4.12.010,"Frais de route et de séjour, frais de déménagement",34 351,30 000,30 400,30 796,31 258,31 790,Crédit sans distinction d'exercice
Article,12.011,004 12011,00.4.12.011,Frais de route et de séjour à l'étranger (gouvernement et autres administrations),220 021,200 000,202 170,204 800,207 872,211 406,Crédit non limitatif et sans distinction d'exercice
Article,12.012,004 12012,00.4.12.012,Frais de route et de séjour à l'étranger,521 133,922 500,600 000,607 800,616 917,627 405,Crédit non limitatif et sans distinction d'exercice
Article,12.020,004 12020,00.4.12.020,Frais d'exploitation des véhicules automoteurs,3 729,9 300,8 300,8 410,8 540,8 685,
Article,12.021,004 12021,00.4.12.021,Service Information et Presse: frais d'exploitation des véhicules automoteurs,1 883,0,,,,,
Article,12.040,004 12040,00.4.12.040,"Frais de bureau: journaux, livres et périodiques",14 794,0,0,,,,
Article,12.041,004 12041,00.4.12.041,Service central de législation: frais de bureau,2 284,0,,,,,
Article,12.050,004 12050,00.4.12.050,Achat de biens et de services postaux,786 529,700 000,700 000,700 000,700 000,700 000,Crédit non limitatif et sans distinction d'exercice
Article,12.070,004 12070,00.4.12.070,Service information et presse : frais d'entretien d'équipements informatiques et audiovisuels,45 445,65 000,61 000,66 755,68 023,69 316,Crédit non limitatif et sans distinction d'exercice
Article,12.080,004 12080,00.4.12.080,Bâtiments: exploitation et entretien,67 447,79 593,79 000,80 027,81 228,82 609,Crédit sans distinction d'exercice
Article,12.110,004 12110,00.4.12.110,Frais de contentieux,1 979 645,315 000,315 000,315 000,315 000,315 000,Crédit non limitatif et sans distinction d'exercice
Article,12.120,004 12120,00.4.12.120,Frais d'experts et d'études,896 831,216 000,316 000,316 000,336 000,344 000,Crédit non limitatif et sans distinction d'exercice
Article,12.125,004 12125,00.4.12.125,Service information et presse : frais d'experts et d'études en matière informatique,195 952,237 000,262 000,248 024,252 736,170 000,Crédit non limitatif et sans distinction d'exercice
Article,12.130,004 12130,00.4.12.130,Frais de publication de communiqués officiels,946 250,900 000,855 000,812 250,771 650,733 100,Crédit non limitatif
Article,12.131,004 12131,00.4.12.131,"Frais de publication du Mémorial, de codes, de recueils de législation, de guides pratiques et de projets de loi, sur papier et sur support informatique, et frais relatifs aux travaux préparatoires à ces publications; frais d'exploitation et d'entretien du site Internet legilux.lu; dépenses diverses",8 497 280,7 900 000,8 000 000,3 000 000,3 000 000,3 000 000,Crédit non limitatif et sans distinction d'exercice
Article,12.170,004 12170,00.4.12.170,Acquisition et entretien de petit outillage et d'équipements spéciaux de faible valeur; dépenses diverses,334,0,0,,,,
Article,12.260,004 12260,00.4.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,18 725,18 300,18 538,18 817,19 137,Crédit sans distinction d'exercice
Article,12.300,004 12300,00.4.12.300,Indemnités de représentation des membres du gouvernement,699 991,724 470,728 908,738 019,747 128,765 806,Crédit non limitatif
Article,12.305,004 12305,00.4.12.305,"Frais en relation avec l'organisation de conférences, de colloques, de séminaires nationaux et internationaux à Luxembourg",89 092,100 000,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.321,004 12321,00.4.12.321,Frais en relation avec des actes et manifestations de la vie publique à caractère protocolaire ou social; dépenses diverses,1 357 974,1 640 000,850 000,861 000,874 000,889 000,Crédit non limitatif et sans distinction d'exercice
Article,12.330,004 12330,00.4.12.330,Dépenses pour distinctions honorifiques,229 125,230 000,230 000,230 000,230 000,230 000,Crédit non limitatif et sans distinction d'exercice
Article,12.340,004 12340,00.4.12.340,"Service information et presse: journaux et périodiques, frais d'impression et de publication, documentation; promotion de l'image de marque du Grand-Duché de Luxembourg; frais d'études et dépenses diverses",496 584,500 000,450 000,456 000,463 000,471 000,Crédit non limitatif et sans distinction d'exercice
